Task,CC-GPT-4o,CC-GPT-4o (no ctx),CC-GPT-4o-mini,CC-GPT-4o-mini (no ctx),CC-Llama-3.1-405b-instruct,CC-Llama-3.1-405b-instruct (no ctx),LLama3-70B-instruct,LLama3-70B-instruct (no ctx),LLama3-8B,LLama3-8B (no ctx),LLama3-8B-instruct,LLama3-8B-instruct (no ctx),Lag-Llama,Naive_random,Naive_oracle,Statsmodels
ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.154 ± 0.079, 0.242 ± 0.111, 0.101 ± 0.039, 0.183 ± 0.073, 0.189 ± 0.083, 0.253 ± 0.110, 195.882 ± 15.136, 0.175 ± 0.072, 0.161 ± 0.074, 0.141 ± 0.063, 0.165 ± 0.065, 0.218 ± 0.097, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.296 ± 0.160
ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.133 ± 0.057, 0.243 ± 0.112, 0.105 ± 0.048, 0.192 ± 0.079, 0.164 ± 0.067, 0.253 ± 0.111, 0.101 ± 0.040, 0.176 ± 0.079, 0.114 ± 0.044, 0.123 ± 0.049, 0.150 ± 0.060, 0.222 ± 0.099, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.262 ± 0.126
FullCausalContextExplicitEquationBivarLinSVAR, 0.028 ± 0.008, 0.045 ± 0.012, 0.040 ± 0.010, 0.045 ± 0.012, 0.024 ± 0.011, 0.044 ± 0.012, 0.033 ± 0.008, 0.045 ± 0.012, 0.040 ± 0.011, 0.045 ± 0.012, 0.041 ± 0.010, 0.044 ± 0.012, 0.047 ± 0.012, 0.067 ± 0.016, 0.066 ± 0.018, 0.037 ± 0.011
FullCausalContextImplicitEquationBivarLinSVAR, 0.026 ± 0.007, 0.045 ± 0.012, 0.040 ± 0.009, 0.045 ± 0.012, 0.026 ± 0.010, 0.044 ± 0.012, 0.032 ± 0.009, 0.045 ± 0.012, 0.042 ± 0.011, 0.045 ± 0.012, 0.039 ± 0.011, 0.044 ± 0.012, 0.047 ± 0.012, 0.067 ± 0.016, 0.066 ± 0.018, 0.041 ± 0.011
GlobalHorizontalIrradianceFromClearsky, 0.111 ± 0.045, 0.270 ± 0.088, 0.117 ± 0.045, 0.232 ± 0.064, 0.117 ± 0.047, 0.259 ± 0.087, 0.114 ± 0.046, 0.215 ± 0.069, 0.119 ± 0.043, 0.169 ± 0.057, 0.120 ± 0.046, 0.244 ± 0.073, 0.484 ± 0.084, 0.271 ± 0.064, 0.000 ± 0.000, 0.285 ± 0.067
ImplicitPressureFromSpeedTask, 0.731 ± 0.159, 0.725 ± 0.068, 0.501 ± 0.107, 0.767 ± 0.084, 0.402 ± 0.119, 0.752 ± 0.072, 0.318 ± 0.086, 0.681 ± 0.115, 0.632 ± 0.138, 0.746 ± 0.084, 0.622 ± 0.134, 0.785 ± 0.075, 0.742 ± 0.069, 0.530 ± 0.114, 1736.638 ± 281.571, 0.633 ± 0.101
ImplicitTrafficForecastTaskwithHolidaysInPredictionWindow, 0.181 ± 0.075, 0.243 ± 0.111, 0.183 ± 0.072, 0.196 ± 0.081, 0.265 ± 0.103, 0.250 ± 0.111, 0.199 ± 0.097, 0.188 ± 0.080, 0.140 ± 0.064, 0.147 ± 0.065, 0.226 ± 0.109, 0.233 ± 0.117, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.328 ± 0.180
IncreasedWithdrawalScenario, 0.089 ± 0.023, 0.267 ± 0.074, 0.196 ± 0.040, 0.270 ± 0.075, 0.131 ± 0.024, 0.266 ± 0.072, 0.543 ± 0.333, 0.263 ± 0.073, 0.264 ± 0.072, 0.266 ± 0.071, 0.228 ± 0.076, 0.263 ± 0.071, 0.282 ± 0.072, 0.426 ± 0.100, 0.000 ± 0.000, 0.272 ± 0.071
LongNewsElectricityIncreaseInPredictionTask, 0.005 ± 0.003, 0.086 ± 0.047, 0.041 ± 0.028, 0.087 ± 0.048, 0.019 ± 0.016, 0.086 ± 0.047, 0.024 ± 0.010, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.084 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
MediumNewsElectricityIncreaseInPredictionTask, 0.005 ± 0.002, 0.086 ± 0.047, 0.029 ± 0.017, 0.087 ± 0.048, 0.018 ± 0.014, 0.086 ± 0.047, 0.021 ± 0.008, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.084 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
MinimalCausalContextBivarLinSVAR, 0.037 ± 0.010, 0.045 ± 0.012, 0.040 ± 0.010, 0.045 ± 0.012, 0.026 ± 0.010, 0.044 ± 0.012, 0.031 ± 0.008, 0.045 ± 0.012, 0.041 ± 0.011, 0.045 ± 0.012, 0.038 ± 0.011, 0.044 ± 0.012, 0.047 ± 0.012, 0.067 ± 0.016, 0.066 ± 0.018, 0.037 ± 0.010
MontrealFireFieldAndGasConvincingToneExplicitCausalConfoundingTask, 0.127 ± 0.074, 0.326 ± 0.088, 0.128 ± 0.061, 0.373 ± 0.123, 0.157 ± 0.073, 1.506 ± 1.186, 0.410 ± 0.275, 0.196 ± 0.065, 0.112 ± 0.036, 0.106 ± 0.041, 0.117 ± 0.041, 0.235 ± 0.065, 0.136 ± 0.051, 0.142 ± 0.071, 0.000 ± 0.000, 0.623 ± 0.342
MontrealFireFieldAndGasConvincingToneImplicitCausalConfoundingTask, 0.147 ± 0.077, 0.341 ± 0.102, 0.144 ± 0.074, 0.451 ± 0.190, 0.158 ± 0.073, 4.428 ± 4.108, 0.543 ± 0.279, 0.178 ± 0.078, 0.099 ± 0.037, 0.134 ± 0.050, 0.107 ± 0.036, 0.244 ± 0.063, 0.136 ± 0.051, 0.141 ± 0.071, 0.000 ± 0.000, 0.509 ± 0.255
MontrealFireFieldAndGasNeutralToneExplicitCausalConfoundingTask, 0.093 ± 0.052, 0.324 ± 0.086, 0.099 ± 0.052, 0.455 ± 0.203, 0.157 ± 0.073, 1.428 ± 1.109, 0.272 ± 0.175, 0.180 ± 0.076, 0.104 ± 0.041, 0.129 ± 0.045, 0.111 ± 0.044, 0.200 ± 0.056, 0.136 ± 0.051, 0.141 ± 0.071, 0.000 ± 0.000, 0.509 ± 0.255
MontrealFireFieldAndGasNeutralToneImplicitCausalConfoundingTask, 0.098 ± 0.057, 0.314 ± 0.083, 0.094 ± 0.051, 0.490 ± 0.227, 0.157 ± 0.073, 2.015 ± 1.695, 0.294 ± 0.179, 0.194 ± 0.073, 0.103 ± 0.038, 0.141 ± 0.055, 0.107 ± 0.040, 0.225 ± 0.060, 0.136 ± 0.051, 0.142 ± 0.071, 0.000 ± 0.000, 0.544 ± 0.265
MontrealFireFieldAndTrashConvincingToneExplicitCausalConfoundingTask, 0.136 ± 0.067, 0.330 ± 0.088, 0.096 ± 0.048, 0.375 ± 0.121, 0.158 ± 0.073, 1.303 ± 0.976, 0.843 ± 0.527, 0.199 ± 0.089, 0.089 ± 0.032, 0.148 ± 0.051, 0.120 ± 0.044, 0.218 ± 0.064, 0.136 ± 0.051, 0.141 ± 0.071, 0.000 ± 0.000, 0.509 ± 0.255
MontrealFireFieldAndTrashConvincingToneImplicitCausalConfoundingTask, 0.151 ± 0.072, 0.281 ± 0.082, 0.088 ± 0.050, 0.449 ± 0.181, 0.158 ± 0.073, 2.133 ± 1.809, 1.049 ± 0.696, 0.155 ± 0.054, 0.109 ± 0.043, 0.134 ± 0.044, 0.121 ± 0.045, 0.227 ± 0.064, 0.136 ± 0.051, 0.142 ± 0.071, 0.000 ± 0.000, 0.544 ± 0.265
MontrealFireFieldAndTrashNeutralToneExplicitCausalConfoundingTask, 0.087 ± 0.050, 0.289 ± 0.080, 0.118 ± 0.042, 0.462 ± 0.204, 0.156 ± 0.073, 6.556 ± 6.234, 0.308 ± 0.160, 0.181 ± 0.070, 0.087 ± 0.034, 0.129 ± 0.044, 0.110 ± 0.043, 0.211 ± 0.065, 0.136 ± 0.051, 0.142 ± 0.071, 0.000 ± 0.000, 0.545 ± 0.265
